Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
U937_Control_R1,4.18070855797405,3.38822580797113,0.691163800901998,1.17265845923253,0,0,3.01433683263972,0,0.716130935561207,0.819281598500854,12.4470934587194
U937_Control_R2,4.30926803602333,3.22024355399156,0.326643015755129,1.52231704719261,0,0,2.93119378758734,0,0.726234565727774,0.815031532275939,12.30966544055
U937_Control_R3,4.12284565016001,3.25142369252123,0.303648671116236,1.63624346407135,0,0,2.96335793348479,0,0.729874900924101,0.815296649125209,12.2775194113536
U937_BRD0705_R1,4.54002348831017,3.10100763536565,0,1.36731745988559,0,0,3.38465805928249,0,0.691189681806163,0.823951065783089,12.3930066428439
U937_BRD0705_R2,4.59698193287875,3.22706709092808,0.0611646973977004,1.31714610805133,0,0,3.38705209426509,0,0.680677860408822,0.827756995020313,12.589411923521
U937_BRD0705_R3,4.86582963264802,2.83108749141812,0,1.46204459758068,0,0,3.39719888223389,0,0.677008062135813,0.827846602492786,12.5561606038807
U937_BRD0320_R1,2.86977727218968,2.95035751149822,0.0907440960865479,1.9909399905584,0.402348234728069,0,3.85369958601191,0,0.558917187107637,0.867074821643668,12.1578666910728
U937_BRD0320_R2,2.91275413740071,2.50369889684457,0.0312696295422314,2.39527798795379,0.435758722159014,0,3.73886297825312,0,0.554204649366181,0.868579150736515,12.0176223521534
U937_BRD0320_R3,2.88702161196713,2.66300538916489,0,2.2898049264613,0.456516393904615,0,3.768795171728,0,0.556569203671757,0.86703150744823,12.0651434932259
