Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
U937 ctrl1,0.0428733915318017,0.524069324844098,0.322755014454908,0.6395685396376,0.156430520233947,0.40011696651992,0.351413641005292,0,0.794171015659686,0.607544193188511,2.43722739822757
U937 ctrl2,0.0647848140670573,0.514001691455132,0.339210394659173,0.600765816612427,0.213799026820677,0.3897525561774,0.307290283665667,0,0.793114005230536,0.608897360389046,2.42960458345753
U937 ctrl3,0.0648192519767685,0.494907568792705,0.346937736749101,0.606104810192642,0.173977567143271,0.390479111920537,0.324233449514254,0,0.800307445448159,0.599491243077849,2.40145949628928
U937 AICAr1,0.0864200287563351,0.535348306546746,0.274689187533569,0.653079446471952,0.225787543395546,0.307320205838888,0.353782835259156,0,0.811227884878957,0.58508546954658,2.43642755380219
U937 AICAr2,0.0360130402417259,0.477817113872507,0.41673780346102,0.486057289273555,0.179753926190495,0.319506949799297,0.386908714770072,0,0.791798461403703,0.610656634131491,2.30279483760867
U937 AICAr3,0.05286331624258,0.502909978546052,0.419994430885316,0.536797555614541,0.220641712394642,0.369684421558205,0.365294028526976,0,0.799419430459774,0.600694163019148,2.46818544376831
