Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
GSM2772462_DMSO.1,3.89857875706689,3.65902396428184,0.35636359591395,2.91633561215743,0.627304399426424,0,4.23918261936805,0,0.729523958400747,0.714897254806456,15.6967889482146
GSM2772463_DMSO.2,3.93656180084547,3.76942220604526,0.382711867006488,2.80805669375375,0.599166615269251,0,4.16111620237667,0,0.736728224281534,0.708756646205481,15.6570353852969
GSM2772464_DMSO.3,4.02003114903254,3.32830623734387,0.995692775571855,3.18498189968447,0.180401446823545,0,4.35167420491812,0,0.726939173899246,0.716583546455945,16.0610877133744
GSM2772465_231.1,2.86501225672664,3.37444348659759,1.48838038114665,2.02906128298087,0.28858610642889,0,4.05389272808793,0,0.742466154367294,0.708945505912452,14.0993762419686
GSM2772466_231.2,2.81284496298699,3.39183642496477,1.66279707119869,1.96419842237142,0.271108917593351,0,4.1844287587494,0,0.742946703648465,0.709316100391806,14.2872145578646
GSM2772467_231.3,2.7608733634909,3.52701073281427,1.42123224424017,2.38193756587235,0.311426898696997,0,4.57173169952777,0,0.729980605428069,0.719420802065672,14.9742125046424
GSM2772468_232.1,0.403577896297259,3.28389525771181,4.7188493406626,0,0.747250521232407,0,5.86936251473198,0,0.69263479630218,0.754127442862145,15.0229355306361
GSM2772469_232.2,0.410572093277106,3.45578707449128,4.7789297869819,0,0.791552253514543,0,6.19574312157012,0,0.679346380998593,0.762205295470257,15.6325843298349
GSM2772470_232.3,0.383804115048579,3.22349588984134,4.74520571896483,0,0.747660929962777,0,5.49499083515363,0,0.695883640769176,0.752281566214583,14.5951574889712
GSM2772458_shNS.1,4.21934272788559,0.630421639867177,0.5026316746153,0.982356173954482,0.141248266332836,0.404925909161233,1.41036257902633,0,0.652907211347711,0.758888649386295,8.29128897084294
GSM2772459_shNS.2,4.21890033666944,0.618808061580677,0.288002627282328,1.32866540715205,0.173154375669745,0.442217731860185,1.45015822898175,0,0.60761602652141,0.794120288988895,8.51990676919618
GSM2772460_shFTO.1,3.45216986903273,0.636254200802894,0.0253711514779383,2.10878530339448,1.2760609163667,2.45529498990207,1.81724436144113,0,0.429890276702323,0.926629729764666,11.7711807924179
GSM2772461_shFTO.2,3.50318174710756,0.490452114697587,0,2.35757565799253,1.23547859065211,2.28673755386566,2.10804196848913,0,0.442254343672921,0.913248268094834,11.9814676328046
