Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
M13_Vehicle_1,0.175676111400347,0.353886508609859,0.426962068641233,0.300151537081175,0,0.0899330285486854,0.564596855319893,0,0.569445106445056,0.825295329246344,1.91120610960119
M13_Vehicle_2,0.171353329398144,0.359011963303979,0.427807669826719,0.306406870530612,0,0.0903939382606352,0.560738734725256,0,0.567959460161092,0.826174471692592,1.91571250604535
M13_Vehicle_3,0.18306423095054,0.359972509286411,0.407710359984723,0.301097340094031,0,0.0831035154660038,0.581528457188256,0,0.574060767061362,0.822671989016294,1.91647641296996
M13_ALRN-6924_1,0.177431690166473,0.357959189866935,0.431810545144357,0.304321540098156,0,0.0716156380465945,0.569618232214465,0,0.575523140164515,0.82235019559533,1.91275683553698
M13_ALRN-6924_2,0.177068632708497,0.354949610339199,0.428064146166725,0.309332775016801,0,0.0662681761665067,0.576473048094724,0,0.578377636241432,0.820803466399827,1.91215638849245
M13_ALRN-6924_3,0.198540890861901,0.355541580151952,0.417670898043706,0.302696338367127,0,0.0584336574433435,0.585559993727673,0,0.578858034504272,0.82082489305627,1.9184433585957
