Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
ARV_OCI-AML5_1,1.188272365,0.712308661,0.067428876,0.379005367,0,0.059456946,1.138229723,0,0.838998111,0.782246366,3.544701938
ARV_OCI-AML5_2,1.29352076,0.650603701,0.097099169,0.27576715,0,0.03744964,1.08921169,0,0.847395805,0.784014378,3.44365211
ARV_OCI-AML5_3,1.198813226,0.653106054,0.021993061,0.421289181,0,0.051102167,1.109002249,0,0.87504722,0.771584721,3.455305938
OTX015_OCI-AML5_1,1.076171893,0.704594338,0.203598291,0.183399013,0.086438257,0,1.079283308,0,0.826501203,0.789107288,3.3334851
OTX015_OCI-AML5_2,1.029488755,0.637278893,0.169183968,0.206440464,0.076604323,0,1.013646778,0,0.828631391,0.789363976,3.132643181
OTX015_OCI-AML5_3,1.128686661,0.739671526,0.317202106,0.036182587,0.112127365,0,1.003171692,0,0.840386756,0.778216416,3.337041937
DMSO_OCI-AML5_1,1.353424822,0.407150364,0,0.722281777,0.102555285,0.134122042,0.935614166,0,0.904555409,0.709040054,3.655148456
DMSO_OCI-AML5_2,1.289576632,0.515648567,0,0.672806212,0.133099269,0.088680896,0.915501878,0,0.89857469,0.723402614,3.615313454
DMSO_OCI-AML5_3,1.318550491,0.521010375,0,0.690803755,0.133468953,0.060212088,0.926191357,0,0.891824332,0.738469077,3.650237019
