Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
GSM3657651_9_34_minus_Nplus,0.967917114801882,6.74541593438638,2.095076900336,0.895061706047503,16.9580963779502,0,19.9097918857474,0,0.762851250242673,0.647985438181089,47.5713599192694
GSM3657652_9_34_minus_Nminus,7.28945962479822,0.584588866639942,2.46921351000715,5.0323367929294,0.00902054816792375,0,2.67293553728475,0,0.873940300321409,0.909195930847556,18.0575548798274
GSM3657653_10_34_minus_Nplus,0,3.25343331484471,1.26294581227764,4.95233069626439,12.5252220250786,3.79933089887313,12.4942257697745,0,0.958916416456082,0.300329503416647,38.2874885171129
GSM3657654_10_34_minus_Nminus,0.995013158537447,4.67602894013371,2.84420992900611,3.78797195924792,0.176500397412013,0.249634834377428,4.41322496756109,0,0.740188601377317,0.953407462271021,17.1425841862757
GSM3657655_11_34_minus_Nplus,10.9908115430893,1.44105182461108,1.1052105127971,2.06267487193269,9.19063262337275,0,8.80563020634224,0,0.957187578038469,0.443233204372712,33.5960115821452
GSM3657656_11_34_minus_Nminus,7.03902746958599,0.540239947301139,3.88066675912493,3.41819625058301,0.151528501975509,0,5.51217707879322,0,0.921664604037393,0.912859844268081,20.5418360073638
GSM3657657_33_34_minus_Nplus,0.90999537777092,11.971667676866,0,5.56325971751187,19.3740115349378,0,8.45864576118727,0,0.956631703817553,0.292831859349213,46.2775800682739
GSM3657658_33_34_minus_Nminus,14.7230984351233,29.9554811677439,0.97434234940052,16.2279444420511,0.0526179350982014,0,10.048469571018,0,0.0566983816749637,0.998414408387157,71.981953900435
GSM3657659_34_34_minus_Nplus,0,4.75300860269717,0,8.09659017156409,11.1591748727949,7.42442334596918,6.37494752396252,0,0.975431385987866,0.229666603764592,37.8081445169879
GSM3657660_34_34_minus_Nminus,2.11823841836837,4.73819566314389,3.87980931003705,7.79771506271542,0.0851482547142147,0.0786891039866117,4.11636797863848,0,0.258694728067919,0.988766609269153,22.814163791604
